test_seq_1\image_0000.png	29.8678	34.1620	371.8337	3.8243	46.7331	356.6795	-29.3328	27.8967	354.0639	-47.7078	14.1832	349.8497	1.7105	-16.5151	360.3108	-5.2614	-41.6668	351.8922	-8.7146	-56.7612	348.3468	25.0265	-15.4440	365.6548	31.2679	-47.8864	358.1815	32.0478	-66.9348	355.8976	45.5043	-8.1269	369.1293	54.5631	-34.0257	364.7506	58.8323	-50.6318	360.6859	66.8318	6.0260	373.1709	82.0087	-10.1991	370.3531	92.2519	-21.7711	367.3301
test_seq_1\image_0001.png	30.9237	34.0953	371.3191	5.0097	46.7843	356.4151	-27.9909	28.1971	354.2405	-46.4762	14.3796	350.9467	1.4760	-16.1938	360.9810	-4.2279	-41.1579	350.5482	-8.1132	-55.4054	346.6966	26.1527	-15.3819	365.5493	30.4601	-47.2172	358.5014	33.1922	-66.7973	355.7370	46.8917	-8.1385	369.2146	55.7981	-33.9742	364.3568	60.0677	-50.7054	361.1147	68.2952	5.9289	373.8557	83.3808	-10.3396	370.3041	93.5424	-21.7695	367.9714
test_seq_1\image_0002.png	30.8423	33.0029	370.6344	4.4930	46.8157	356.5576	-28.1741	27.3559	353.8937	-46.3362	13.3209	349.4929	1.5751	-17.3977	359.8468	-3.9872	-41.9164	350.9026	-7.6375	-56.2565	347.1575	26.1364	-16.5955	365.0910	31.9707	-47.7773	358.2733	33.1373	-66.4704	354.4705	46.2018	-8.3596	368.3816	55.8407	-34.2503	363.1768	60.1364	-51.8639	359.8501	68.3645	7.1211	372.4099	85.4031	-11.4299	371.0347	93.5649	-22.7976	366.2766
test_seq_1\image_0003.png	31.0777	33.5563	371.1527	5.2775	47.0662	356.7460	-26.7056	28.3765	353.0185	-44.7641	15.7559	346.6212	2.8190	-18.7164	359.8235	-1.1874	-44.1705	351.5778	-4.5458	-58.6599	349.7747	25.6398	-17.5418	365.7202	31.6346	-49.5120	356.7215	33.2176	-66.8503	353.8697	46.0952	-8.4262	368.0939	54.8927	-36.0573	363.2713	58.9882	-52.2094	358.9125	68.9051	6.7343	373.5309	83.9373	-11.4620	371.6332	92.6970	-24.2392	368.7686
test_seq_1\image_0004.png	32.7504	33.3512	375.1177	10.5810	41.8658	353.9848	0.5641	20.1171	337.0779	8.7784	8.9428	327.9079	7.3335	-17.1941	365.3923	7.2369	-47.2224	360.3314	6.8647	-62.9692	354.6465	28.6520	-10.4552	362.2379	28.6995	-11.3529	340.5414	25.8415	2.3988	337.4278	46.1574	-2.5203	362.0737	45.3778	-3.3106	345.9399	40.5871	8.0666	343.0201	63.1723	5.1843	368.7668	65.7164	-1.3916	361.8086	64.5643	4.2565	358.3842
test_seq_1\image_0005.png	34.6329	35.3836	376.6866	14.2198	41.8306	356.2339	9.9164	20.2732	339.6440	21.9392	11.0764	333.7059	10.9592	-17.4908	369.5218	16.5507	-46.6596	360.6980	17.1498	-61.8351	357.2349	29.3016	-9.2441	360.9854	31.6608	-7.9222	342.5747	31.1307	8.6481	335.2420	47.3620	0.5038	363.1990	48.7026	-0.0387	347.9246	44.5059	11.7837	347.6617	64.4693	7.3229	370.0323	65.5646	2.4519	362.2584	66.1170	9.5626	362.0868
test_seq_1\image_0006.png	35.4732	36.4966	377.1778	16.4467	42.3646	356.3727	12.8704	20.8271	340.1889	25.5784	12.6853	333.3444	12.9547	-16.2050	367.4276	21.1608	-46.3019	358.7863	20.9681	-60.4818	348.2479	30.9754	-7.3319	357.8083	33.4836	-6.8178	340.7598	31.7521	11.3409	333.6633	48.6532	1.8932	361.7857	49.3438	2.6545	347.2512	46.9604	14.2008	347.2248	65.6987	8.7798	370.3373	66.3366	5.6896	361.3680	65.8948	13.6091	362.0063
test_seq_1\image_0007.png	36.7007	37.0126	377.9384	16.9908	43.7869	357.3485	13.2806	22.0804	341.7667	25.4406	14.1893	333.8841	13.0337	-16.0753	366.9998	20.3304	-41.8608	355.1395	21.5625	-56.1417	347.5288	31.0882	-5.6041	357.6481	33.6630	-5.0005	340.2791	32.4504	13.4333	333.4051	48.4573	2.9649	361.4934	49.3568	4.4695	347.2310	47.7889	16.4379	348.5750	65.5330	9.8780	369.5793	66.0240	7.1707	359.6939	65.8211	15.4199	361.5710
test_seq_1\image_0008.png	36.7320	36.0984	379.7805	18.0386	44.1547	359.3073	13.1844	24.3036	343.8695	26.0183	14.2949	336.6163	13.1638	-16.3325	366.8691	18.3558	-42.8617	352.7560	20.6559	-57.2236	346.3190	30.6870	-7.4792	358.2612	34.1520	-5.6006	342.3913	33.0432	12.8401	336.1157	48.3736	1.4550	363.0143	50.3340	2.4615	347.8430	48.0646	15.5124	348.9348	65.4824	8.8826	370.6035	65.7569	6.5982	360.1400	64.8289	14.5901	360.8681
test_seq_1\image_0009.png	35.7348	33.8388	381.9130	18.4917	41.6796	359.9343	13.1572	22.7077	344.2772	24.8437	13.1599	337.4629	13.7034	-20.2030	366.4854	18.8716	-46.8955	351.0554	19.1760	-60.8532	345.9417	31.2329	-10.6854	360.1295	33.1928	-8.3399	344.5239	32.1939	9.7572	338.4113	48.7726	-0.5176	363.8562	48.9614	1.1124	347.8222	47.1002	14.3340	349.6708	64.4289	5.3585	371.0774	64.1296	3.1948	360.4597	63.8398	11.9983	359.6120
